Net Status Report
Filename     : D:\PAY_IFB\hw\HW\PAY_IFB\1_PAY_IFB_V1\01_DESIGN\PAY_IFB\PAY_IFP_V1.PcbDoc
Date         : 09-Jan-26
Time         : 11:08:17 AM
Time Elapsed : 00:00:01

Nets, Layer, Length
    12V, Signal Layers Only, 0mm
    12V_CONN, Signal Layers Only, 0mm
    3.3_VBAT, Signal Layers Only, 0mm
    3V3, Signal Layers Only, 0mm
    3V3_eMMC, Signal Layers Only, 0mm
    5V, Signal Layers Only, 0mm
    ADC_TEMP_1, Signal Layers Only, 0mm
    ADC_TEMP_2, Signal Layers Only, 0mm
    ADC_TEMP_3, Signal Layers Only, 0mm
    AUXOFF, Signal Layers Only, 0mm
    BUS_3V3, Signal Layers Only, 0mm
    BUS_5V, Signal Layers Only, 0mm
    DBGU_RX_FTDI, Signal Layers Only, 0mm
    DBGU_TX_FTDI, Signal Layers Only, 0mm
    DCDC1, Signal Layers Only, 0mm
    DCDC2, Signal Layers Only, 0mm
    DCDC3, Signal Layers Only, 0mm
    DCDC4, Signal Layers Only, 0mm
    DDR_A0, Signal Layers Only, 0mm
    DDR_A1, Signal Layers Only, 0mm
    DDR_A10, Signal Layers Only, 0mm
    DDR_A11, Signal Layers Only, 0mm
    DDR_A12, Signal Layers Only, 0mm
    DDR_A13, Signal Layers Only, 0mm
    DDR_A14, Signal Layers Only, 0mm
    DDR_A15, Signal Layers Only, 0mm
    DDR_A2, Signal Layers Only, 0mm
    DDR_A3, Signal Layers Only, 0mm
    DDR_A4, Signal Layers Only, 0mm
    DDR_A5, Signal Layers Only, 0mm
    DDR_A6, Signal Layers Only, 0mm
    DDR_A7, Signal Layers Only, 0mm
    DDR_A8, Signal Layers Only, 0mm
    DDR_A9, Signal Layers Only, 0mm
    DDR_BA0, Signal Layers Only, 0mm
    DDR_BA1, Signal Layers Only, 0mm
    DDR_BA2, Signal Layers Only, 0mm
    DDR_CAS, Signal Layers Only, 0mm
    DDR_CKE, Signal Layers Only, 0mm
    DDR_CK_N, Signal Layers Only, 0mm
    DDR_CK_P, Signal Layers Only, 0mm
    DDR_CS, Signal Layers Only, 0mm
    DDR_D0, Signal Layers Only, 0mm
    DDR_D1, Signal Layers Only, 0mm
    DDR_D10, Signal Layers Only, 0mm
    DDR_D11, Signal Layers Only, 0mm
    DDR_D12, Signal Layers Only, 0mm
    DDR_D13, Signal Layers Only, 0mm
    DDR_D14, Signal Layers Only, 0mm
    DDR_D15, Signal Layers Only, 0mm
    DDR_D2, Signal Layers Only, 0mm
    DDR_D3, Signal Layers Only, 0mm
    DDR_D4, Signal Layers Only, 0mm
    DDR_D5, Signal Layers Only, 0mm
    DDR_D6, Signal Layers Only, 0mm
    DDR_D7, Signal Layers Only, 0mm
    DDR_D8, Signal Layers Only, 0mm
    DDR_D9, Signal Layers Only, 0mm
    DDR_DQM0, Signal Layers Only, 0mm
    DDR_DQM1, Signal Layers Only, 0mm
    DDR_DQS0_N, Signal Layers Only, 0mm
    DDR_DQS0_P, Signal Layers Only, 0mm
    DDR_DQS1_N, Signal Layers Only, 0mm
    DDR_DQS1_P, Signal Layers Only, 0mm
    DDR_ODT, Signal Layers Only, 0mm
    DDR_RAS, Signal Layers Only, 0mm
    DDR_RESET, Signal Layers Only, 0mm
    DDR_VREF, Signal Layers Only, 0mm
    DDR_WE, Signal Layers Only, 0mm
    EXP_USB_N, Signal Layers Only, 0mm
    EXP_USB_P, Signal Layers Only, 0mm
    FLEXCOM0_UART_RX, Signal Layers Only, 0mm
    FLEXCOM0_UART_TX, Signal Layers Only, 0mm
    FLEXCOM10_I2C_SCL, Signal Layers Only, 0mm
    FLEXCOM10_I2C_SDA, Signal Layers Only, 0mm
    FLEXCOM1_I2C_SCL, Signal Layers Only, 0mm
    FLEXCOM1_I2C_SDA, Signal Layers Only, 0mm
    FLEXCOM3_UART_RX, Signal Layers Only, 0mm
    FLEXCOM3_UART_TX, Signal Layers Only, 0mm
    FLEXCOM4_SPI_CLK, Signal Layers Only, 0mm
    FLEXCOM4_SPI_CS, Signal Layers Only, 0mm
    FLEXCOM4_SPI_MISO, Signal Layers Only, 0mm
    FLEXCOM4_SPI_MOSI, Signal Layers Only, 0mm
    FLEXCOM5_I2C_SCL, Signal Layers Only, 0mm
    FLEXCOM5_I2C_SDA, Signal Layers Only, 0mm
    FLEXCOM6_UART_TX, Signal Layers Only, 0mm
    FLEXCOM7_UART_RX, Signal Layers Only, 0mm
    FLEXCOM7_UART_TX, Signal Layers Only, 0mm
    FLEXCOM8_SPI_CK, Signal Layers Only, 0mm
    FLEXCOM8_SPI_MOSI, Signal Layers Only, 0mm
    FLEXCOM9_UART_RX_DEBUG, Signal Layers Only, 0mm
    FLEXCOM9_UART_TX_DEBUG, Signal Layers Only, 0mm
    FLT#, Signal Layers Only, 0mm
    GND, Signal Layers Only, 0mm
    GOM_VBAT, Signal Layers Only, 0mm
    HPM_MCP16502, Signal Layers Only, 0mm
    LVDS_TxC_N, Signal Layers Only, 0mm
    LVDS_TxC_P, Signal Layers Only, 0mm
    LVDS_TxD_N, Signal Layers Only, 0mm
    LVDS_TxD_P, Signal Layers Only, 0mm
    MRAM_QSPI_CLK, Signal Layers Only, 0mm
    MRAM_QSPI_CS, Signal Layers Only, 0mm
    MRAM_QSPI_D0, Signal Layers Only, 0mm
    MRAM_QSPI_D1, Signal Layers Only, 0mm
    MRAM_QSPI_D2, Signal Layers Only, 0mm
    MRAM_QSPI_D3, Signal Layers Only, 0mm
    NetBT1_2, Signal Layers Only, 0mm
    NetBT2_2, Signal Layers Only, 0mm
    NetBT3_2, Signal Layers Only, 0mm
    NetBT4_2, Signal Layers Only, 0mm
    NetC130_2, Signal Layers Only, 0mm
    NetC142_2, Signal Layers Only, 0mm
    NetC167_2, Signal Layers Only, 0mm
    NetC6_2, Signal Layers Only, 0mm
    NetC7_2, Signal Layers Only, 0mm
    NetC8_1, Signal Layers Only, 0mm
    NetC8_2, Signal Layers Only, 0mm
    NetCR1_1, Signal Layers Only, 0mm
    NetCR1_3, Signal Layers Only, 0mm
    NetCR1_6, Signal Layers Only, 0mm
    NetCR2_3, Signal Layers Only, 0mm
    NetCR2_4, Signal Layers Only, 0mm
    NetCR2_6, Signal Layers Only, 0mm
    NetCR3_1, Signal Layers Only, 0mm
    NetCR3_2, Signal Layers Only, 0mm
    NetD2_2, Signal Layers Only, 0mm
    NetD4_2, Signal Layers Only, 0mm
    NetD5_2, Signal Layers Only, 0mm
    NetD6_1, Signal Layers Only, 0mm
    NetD6_3, Signal Layers Only, 0mm
