Altium Designer Pick and Place Locations
C:\Work\OURASI-CURIOSITY\06_Hardware\REV6\DESIGN_FILES\Project_Outputs\Standard\PNP\04-12169-REV6_Standard_PNP.csv

========================================================================================================================
File Design Information:

Date:       16/10/24
Time:       15:45
Revision:   44730
Variant:    Standard
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R119","Resistor","BottomLayer","RES_C_0402","108.4750","50.4500","270","Resistor"
"R99","Resistor","BottomLayer","RES_C_0402","58.9000","24.7250","180","Resistor"
"R94","Resistor","TopLayer","RES_C_0402","64.7250","22.2750","180","Resistor"
"FB15","Ferrite Bead","BottomLayer","IND_C_0603","107.4500","105.3250","180",""
"Q7","Transistor MOS-N GSD","BottomLayer","SOT-23-3","117.3000","95.8250","270","Transistor MOS"
"Q6","Transistor MOS-N GSD","BottomLayer","SOT-23-3","122.5750","95.1250","270","Transistor MOS"
"D9","ESD_ECMF02-4CMX8","TopLayer","DIODE_ESD_ECMF02-4CMX8","107.8500","104.4500","270","IC ESD FILTER COMM MODE 8-UQFN"
"R159","Resistor","TopLayer","RES_C_0402","50.0750","29.8500","0","Resistor"
"R158","Resistor","BottomLayer","RES_C_0402","48.1000","22.8500","180","Resistor"
"R153","Resistor","TopLayer","RES_C_0402","68.7000","25.2000","0","Resistor"
"R152","Resistor","BottomLayer","RES_C_0402","61.3250","21.0000","0","Resistor"
"R151","Resistor","BottomLayer","RES_C_0402","64.2000","21.7750","0","Resistor"
"J12","Header 1x3","TopLayer","HDR_M_2.54_1x3","69.9750","23.0750","180",""
"D8","Diode Schottky Dual CK","TopLayer","SOT-23-3","156.5250","80.2000","180",""
"R53","Resistor","TopLayer","RES_C_0402","66.2500","51.5250","270","Resistor"
"R73","Resistor","BottomLayer","RES_C_0402","101.2500","7.0500","270","Resistor"
"R70","Resistor","BottomLayer","RES_C_0402","102.2500","7.0500","270","Resistor"
"R68","Resistor","BottomLayer","RES_C_0402","99.8000","7.0500","270","Resistor"
"R66","Resistor","BottomLayer","RES_C_0402","98.8000","7.0500","270","Resistor"
"R60","Resistor","BottomLayer","RES_C_0402","97.3000","7.0500","270","Resistor"
"R56","Resistor","BottomLayer","RES_C_0402","94.9750","7.0500","270","Resistor"
"R52","Resistor","BottomLayer","RES_C_0402","93.1250","7.0250","270","Resistor"
"U6","AS4C512M16D3LA-10BIN TFBGA-96","TopLayer","TFBGA-96_13.5x9","105.0000","78.1000","0","8Gb DDR3L-1866 SDRAM, 512Mb x 16, -40C to +95C"
"R49","Resistor","BottomLayer","RES_C_0201","109.4500","76.5000","180","Resistor"
"R48","Resistor","TopLayer","RES_C_0201","98.5870","71.8000","0","Resistor"
"R47","Resistor","TopLayer","RES_C_0201","98.5870","71.2250","180","Resistor"
"R45","Resistor","TopLayer","RES_C_0201","100.6000","70.4000","180","Resistor"
"C116","Capacitor NP","TopLayer","CAP_C_0402","97.5750","71.5000","270","Capacitor"
"C114","Capacitor NP","BottomLayer","CAP_C_0402","97.2000","67.0750","0","Capacitor"
"C112","Capacitor NP","BottomLayer","CAP_C_0201","90.3250","60.8250","270",""
"C110","Capacitor NP","BottomLayer","CAP_C_0201","94.2750","61.8000","0",""
"C108","Capacitor NP","BottomLayer","CAP_C_0201","95.7500","67.0000","90",""
"C105","Capacitor NP","BottomLayer","CAP_C_0201","89.6750","60.8250","270",""
"C103","Capacitor NP","BottomLayer","CAP_C_0201","88.7000","62.5250","180",""
"C101","Capacitor NP","BottomLayer","CAP_C_0201","96.5000","62.4500","0",""
"C98","Capacitor NP","BottomLayer","CAP_C_0402","103.0250","81.3000","90","Capacitor"
"C95","Capacitor NP","BottomLayer","CAP_C_0201","97.0000","66.0250","0",""
"C92","Capacitor NP","BottomLayer","CAP_C_0201","101.6000","80.5000","90",""
"C89","Capacitor NP","BottomLayer","CAP_C_0201","108.2000","81.6750","90",""
"C86","Capacitor NP","BottomLayer","CAP_C_0201","109.3000","72.5000","270",""
"C84","Capacitor NP","BottomLayer","CAP_C_0201","106.8500","79.7000","0",""
"C81","Capacitor NP","BottomLayer","CAP_C_0201","109.0250","78.9000","90",""
"C79","Capacitor NP","BottomLayer","CAP_C_0201","107.8000","84.1250","0",""
"Y5","Crystal 4 Pins","TopLayer","CRYSTAL_L2.0W1.6H0.5_FA-128","138.7000","60.5250","0",""
"Y4","OSCILLATOR 4 Pins","TopLayer","OSCILLATOR_ASAK_L2W1.6H0.7","56.5750","19.1500","180",""
"Y3","Crystal 2 Pins","TopLayer","CRYSTAL_FC-12M_L2.05W1.2H0.6","92.8000","44.5000","0","Crystal"
"Y1","Crystal 4 Pins","TopLayer","CRYSTAL_L2.0W1.6H0.5_FA-128","95.9750","45.2750","90",""
"U19","MCP170X SOT-23-3_SOT-23A-3","TopLayer","SOT-23-3","8.6000","30.1250","90","LDO"
"U18","MCP2542 DFN-8","BottomLayer","DFN-8_3x3_EP2.4X1.55","147.6750","49.7000","270",""
"U17","MCP2542 DFN-8","BottomLayer","DFN-8_3x3_EP2.4X1.55","134.8250","49.6750","270",""
"U16","MCP2542 DFN-8","BottomLayer","DFN-8_3x3_EP2.4X1.55","160.2750","49.7500","270",""
"U15","MIC2026-2076 DIP-8 SOIC-8","BottomLayer","SOIC-8","99.5250","100.3750","90",""
"U14","LAN8840_QFN-48","TopLayer","QFN-48_7x7_EP5.1x5.1","136.2250","68.5000","180",""
"U13","MIC33153 VFDFN-14","TopLayer","VFDFN-14_3X3.5_MIC33153","132.4250","60.4750","180",""
"U11","MIC94085YFT MLF-4","BottomLayer","MLF-4_0.85X0.85mm","29.6500","63.7500","0",""
"U10","MIC5219 MSOP-8","BottomLayer","MSOP-8","35.8000","61.4000","90","LDO Regulator"
"U9","SST26VF064B-104IMF","TopLayer","WSON-8_6x5_EP3.4X4.0","74.0000","65.0250","0","SQI Serial Flash"
"U7","24XXXX SOT-23-6","TopLayer","SOT-23-6","75.0598","87.8946","0",""
"U8","MX30LF4G28AD-XKI VFBGA-63","TopLayer","VFBGA-63_P0.8_9x11x1","74.0000","76.0000","0",""
"U5","SAMA7D65","TopLayer","TFBGA-343_14x14","90.0000","60.5000","180","SAMA7D65 MPU 1000MHz Cortex-A7 TFBGA-343"
"U4","PAC1934 UQFN-16","TopLayer","UQFN-16_4X4_EP2.6X2.6","133.9715","78.3243","270",""
"U3","MCP16502 QFN-32","TopLayer","QFN-32_5X5_EP3.7X3.7","133.8000","87.5000","90",""
"U2","MCP2221 SOIC-14_TSSOP-14_PDIP-14","BottomLayer","SOIC-14","10.8750","90.9500","180",""
"U12","IDTQS3VH257 TSSOP-16","TopLayer","TSSOP-16","59.4000","23.9000","0",""
"U1","MIC23450 QFN-32","TopLayer","QFN-32_5X5_EP3.1X3.1","54.5250","51.7250","180","MIC23450 QFN-32"
"TP8","Test Point No BOM","BottomLayer","TP_1mm_SMD","138.4750","63.4250","90","Test Point"
"TP7","Test Point No BOM","BottomLayer","TP_1mm_SMD","142.2250","69.2500","90","Test Point"
"TP6","Test Point No BOM","BottomLayer","TP_1mm_SMD","140.6750","61.0750","90","Test Point"
"TP5","Test Point No BOM","TopLayer","TP_1mm_SMD","125.8750","78.0750","90","Test Point"
"TP4","Test Point No BOM","TopLayer","TP_1mm_SMD","123.4500","77.5250","90","Test Point"
"TP3","Test Point No BOM","TopLayer","TP_1mm_SMD","144.1250","77.8250","90","Test Point"
"TP2","Test Point No BOM","TopLayer","TP_1mm_SMD","141.6750","77.6500","90","Test Point"
"TP1","Test Point No BOM","TopLayer","TP_1mm_SMD","121.4000","75.1250","90","Test Point"
"SW4","Switch 4 Pin","TopLayer","SW_SMD_4.5mmX4.5mm_PTS647","67.0000","10.7250","0","Switch"
"SW3","Switch 4 Pin","TopLayer","SW_SMD_4.5mmX4.5mm_PTS647","123.0000","10.7250","0","Switch"
"SW2","Switch 4 Pin","TopLayer","SW_SMD_4.5mmX4.5mm_PTS647","104.0000","10.7250","0","Switch"
"SW1","Switch 4 Pin","TopLayer","SW_SMD_4.5mmX4.5mm_PTS647","86.0000","10.7250","0","Switch"
"STANDOFF1","Standoff M-F","TopLayer","MECH_HW_STAND-OFF_9774025243","18.4300","17.2800","90",""
"R258","Resistor","BottomLayer","RES_C_0402","153.8000","3.1500","0","Resistor"
"R256","Resistor","BottomLayer","RES_C_0402","147.3500","3.1250","180","Resistor"
"R255","Resistor","BottomLayer","RES_C_0402","144.8500","3.1250","180","Resistor"
"R254","Resistor","BottomLayer","RES_C_0402","137.2750","9.0000","0","Resistor"
"R253","Resistor","BottomLayer","RES_C_0402","139.7000","3.1250","180","Resistor"
"R252","Resistor","BottomLayer","RES_C_0402","137.1250","3.1250","180","Resistor"
"R251","Resistor","BottomLayer","RES_C_0402","142.7250","57.1500","90","Resistor"
"R249","Resistor","TopLayer","RES_C_0402","11.9000","38.0000","180","Resistor"
"R248","Resistor","TopLayer","RES_C_0402","8.4250","38.0000","180","Resistor"
"R247","Resistor","TopLayer","RES_C_0402","7.8500","26.5750","0","Resistor"
"R246","Resistor","TopLayer","RES_C_0402","7.8500","25.5750","0","Resistor"
"R245","Resistor","TopLayer","RES_C_0402","11.9000","37.0000","0","Resistor"
"R244","Resistor","TopLayer","RES_C_0402","8.4250","37.0000","0","Resistor"
"R243","Resistor","TopLayer","RES_C_0402","72.2000","9.6250","90","Resistor"
"R242","Resistor","TopLayer","RES_C_0402","49.7500","78.3750","0","Resistor"
"R241","Resistor","TopLayer","RES_C_0402","53.0250","74.7000","270","Resistor"
"R240","Resistor","TopLayer","RES_C_0402","53.0250","76.6000","90","Resistor"
"R239","Resistor","TopLayer","RES_C_0402","57.6250","76.7000","90","Resistor"
"R238","Resistor","TopLayer","RES_C_0402","60.6750","74.0000","180","Resistor"
"R237","Resistor","TopLayer","RES_C_0402","110.2000","9.5750","90","Resistor"
"R236","Resistor","TopLayer","RES_C_0402","109.2000","9.5750","90","Resistor"
"R235","Resistor","TopLayer","RES_C_0402","91.4750","9.6250","90","Resistor"
"R234","Resistor","BottomLayer","RES_C_1210","143.3750","46.3750","180","Resistor"
"R233","Resistor","BottomLayer","RES_C_0402","127.2750","39.8250","180","Resistor"
"R232","Resistor","BottomLayer","RES_C_0402","127.2750","37.3000","180","Resistor"
"R231","Resistor","BottomLayer","RES_C_0402","127.2750","34.7500","180","Resistor"
"R230","Resistor","BottomLayer","RES_C_1210","143.3500","52.1500","0","Resistor"
"R229","Resistor","BottomLayer","RES_C_1210","130.5250","46.3250","180","Resistor"
"R228","Resistor","BottomLayer","RES_C_1210","156.0000","46.4500","180","Resistor"
"R227","Resistor","BottomLayer","RES_C_1210","130.5250","52.2750","0","Resistor"
"R226","Resistor","BottomLayer","RES_C_1210","155.9750","52.2000","0","Resistor"
"R225","Resistor","BottomLayer","RES_C_0402","135.0750","34.3500","0","Resistor"
"R224","Resistor","BottomLayer","RES_C_0402","135.0750","33.3497","0","Resistor"
"R221","Resistor","BottomLayer","RES_C_0402","72.6000","111.4000","90","Resistor"
"R220","Resistor","BottomLayer","RES_C_0402","156.4000","14.5250","0","Resistor"
"R219","Resistor","BottomLayer","RES_C_0402","97.6250","95.7000","90","Resistor"
"R218","Resistor","BottomLayer","RES_C_0402","101.4500","95.7000","90","Resistor"
"R217","Resistor","BottomLayer","RES_C_0402","98.8750","95.7000","270","Resistor"
"R216","Resistor","BottomLayer","RES_C_0402","100.1500","95.7000","270","Resistor"
"R215","Resistor","TopLayer","RES_C_0402","148.7000","86.9500","270","Resistor"
"R214","Resistor","TopLayer","RES_C_0402","157.4500","87.3750","180","Resistor"
"R213","Resistor","TopLayer","RES_C_0402","155.2250","85.8250","270","Resistor"
"R212","Resistor","TopLayer","RES_C_0402","157.2250","83.0250","90","Resistor"
